,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
2,CHEMBL13470,C=CCN1C[C@H](C)N([C@H](c2ccc(C(=O)N(CC)CC)cc2)c2cccc(OC)c2)C[C@H]1C,active,449.63900000000024,4.847200000000005,0.0,4.0,6.494850021680094
4,CHEMBL126946,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2ccc(F)cc2)cc1,inactive,366.48,4.493000000000004,1.0,2.0,5.0
8,CHEMBL338089,CCN(CC)C(=O)c1ccc(C(=C2CCN(c3ccccc3)CC2)c2ccccc2)cc1,inactive,424.58800000000014,6.270900000000007,0.0,2.0,5.0
11,CHEMBL126842,CCN(CC)C(=O)c1ccc(C(=C2CCN(C)CC2)c2ccccc2)cc1,inactive,362.51700000000005,4.696100000000005,0.0,2.0,5.0
17,CHEMBL129034,CCN(CC)C(=O)c1ccc(C(=C2CCNCC2)c2cccc3ccccc23)cc1,active,398.55000000000007,5.507100000000006,1.0,2.0,6.087777943467584
19,CHEMBL340476,CCN(CC)C(=O)c1ccc(C(=C2CCN(C3CCCCC3)CC2)c2ccccc2)cc1,active,430.63600000000025,6.399000000000007,0.0,2.0,6.224025668870631
26,CHEMBL1790709,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)[C@@H](C)O)C(=O)N[C@@H](CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O)C(N)=O,active,847.9200000000004,-4.7112,13.0,15.0,8.086186147616283
27,CHEMBL1790710,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)[C@@H](C)O)C(=O)N[C@@H](CO)C(N)=O,active,685.7790000000002,-2.5353999999999908,10.0,10.0,8.397940008672037
28,CHEMBL278789,C[C@@H](NC(=O)[C@@H](N)Cc1ccc(O)cc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CO)C(N)=O,active,802.886,-2.003099999999989,10.0,11.0,8.739928612014925
29,CHEMBL80,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,active,327.3800000000001,1.3014,2.0,5.0,8.698970004336019
